WSPD,WVHT,APD
9.3,2.90,6.75
8.9,3.06,6.71
8.3,2.75,6.55
7.3,2.79,6.50
7.8,2.78,6.85
6.0,2.99,7.21
4.9,2.56,6.94
4.6,2.94,7.58
3.8,2.85,7.52
1.9,2.75,7.35
1.5,2.89,7.72
0.8,3.35,8.05
0.8,3.13,7.80
2.1,3.26,8.21
2.4,3.30,8.17
2.7,2.94,7.74
3.4,2.87,7.59
3.8,3.14,8.15
5.0,3.00,7.81
5.8,2.67,7.52
5.8,2.71,7.46
5.3,2.50,7.25
6.5,2.33,7.07
7.9,2.34,6.80
9.3,2.06,6.10
9.5,2.13,5.90
10.1,2.16,5.76
11.2,2.34,5.74
12.0,2.25,5.33
11.9,2.64,5.50
12.8,2.81,5.34
12.4,3.18,5.71
13.8,3.58,5.90
12.6,3.37,5.82
10.7,3.44,6.16
8.8,3.17,6.21
5.7,3.03,6.39
4.3,2.76,6.55
4.0,2.65,6.41
4.0,2.52,6.52
3.7,2.74,6.70
3.2,2.70,6.65
3.7,2.86,7.12
3.6,2.75,6.98
2.7,2.95,7.42
1.4,2.86,7.34
1.4,3.08,7.67
3.4,3.17,8.26
3.9,3.16,8.01
4.4,3.34,8.44
4.6,3.08,8.08
5.5,3.08,8.33
7.8,2.95,7.87
8.1,3.11,7.63
7.0,2.92,7.49
7.0,3.22,8.07
7.4,2.90,7.87
8.1,3.34,7.98
6.3,3.50,8.15
5.2,3.66,8.22
3.4,3.69,8.50
5.6,4.01,8.62
7.6,4.20,8.90
8.5,4.07,8.35
8.1,4.44,8.40
6.9,4.26,8.50
8.2,3.66,7.73
9.1,4.07,8.13
8.7,3.69,7.69
8.9,3.97,8.05
7.3,3.86,8.21
8.4,4.30,8.56
7.1,4.05,8.01
7.0,4.03,8.07
6.4,4.17,8.03
4.7,3.93,8.15
4.3,4.11,8.29
4.2,3.58,8.10
5.1,3.10,7.85
4.8,3.34,8.08
5.8,3.42,8.18
5.5,3.16,8.04
4.9,3.07,7.70
4.6,2.93,7.86
5.2,3.03,7.99
5.6,2.74,7.52
5.5,2.55,7.31
5.6,2.51,7.57
5.0,2.63,7.78
6.0,2.36,7.18
7.8,2.38,7.19
8.8,2.17,6.48
8.7,99.00,99.00
9.7,2.33,6.04
9.5,2.43,6.28
7.6,2.28,5.86
7.4,2.30,6.26
8.3,2.33,6.00
7.2,2.36,5.96
7.1,2.21,5.84
7.2,2.11,5.82
8.5,2.05,5.41
9.2,2.05,5.58
10.1,2.05,5.44
11.5,2.17,5.31
11.9,2.36,5.37
12.3,2.68,5.40
11.4,2.89,5.78
10.7,2.71,5.52
11.5,2.90,5.79
10.9,2.94,5.92
10.4,3.02,5.99
9.9,3.22,6.25
9.1,3.30,6.54
8.3,99.00,99.00
8.2,3.42,6.89
7.1,3.38,7.23
7.0,3.78,7.56
6.6,3.83,7.55
6.2,4.10,7.88
5.3,4.18,7.97
2.7,4.00,7.97
3.4,4.05,8.05
