WSPD,WVHT,APD
13.9,2.67,5.48
13.0,2.88,5.63
12.7,2.66,5.53
12.8,2.74,5.47
13.7,2.82,5.65
15.0,3.17,5.85
13.8,3.02,5.70
15.0,3.29,6.02
15.2,3.45,5.83
13.5,3.65,6.20
13.0,3.32,5.91
13.8,3.38,5.97
13.9,3.64,6.10
11.7,4.02,6.51
13.0,3.37,6.20
12.6,3.41,6.35
11.6,3.33,6.35
11.5,3.01,6.18
10.9,2.94,6.06
10.1,3.04,6.25
12.4,2.94,6.23
14.7,3.00,6.18
11.5,2.86,6.01
11.5,2.80,6.10
11.6,2.89,5.95
13.7,2.98,5.93
14.9,3.09,5.90
15.3,3.25,6.07
15.7,3.32,5.94
17.5,3.44,5.90
19.0,3.81,5.97
20.7,3.73,5.84
18.4,4.54,6.30
20.0,4.54,6.41
22.4,5.94,7.36
24.4,7.44,8.74
26.3,99.00,99.00
22.3,11.27,10.40
23.1,99.00,99.00
20.1,9.98,9.76
19.3,99.00,99.00
16.5,7.92,9.34
18.8,7.11,8.83
16.0,7.46,8.92
15.5,6.60,8.80
13.8,5.94,8.42
14.7,6.37,8.64
12.5,5.58,8.44
12.3,5.23,8.21
12.6,4.86,8.29
10.7,4.21,7.82
9.7,4.42,8.24
10.9,4.76,8.19
9.2,4.24,7.98
9.0,4.36,8.21
7.9,3.79,7.89
7.2,3.98,8.01
6.5,4.80,8.41
6.8,4.68,8.50
2.2,4.25,8.17
5.2,4.27,8.38
4.3,99.00,99.00
5.0,4.38,8.39
5.7,4.55,8.32
6.3,4.41,8.29
5.9,4.49,8.58
5.4,4.18,8.55
4.8,4.32,8.71
5.3,4.25,8.57
5.1,4.13,8.69
5.5,4.10,8.88
4.0,4.18,9.09
4.3,4.47,9.46
2.3,4.69,9.73
3.2,4.19,9.01
5.1,4.97,9.33
4.8,5.06,9.93
5.1,4.51,9.55
4.8,4.45,9.67
5.3,4.78,9.87
4.5,4.39,9.82
3.9,3.84,9.45
4.5,3.99,9.64
4.6,3.65,9.49
7.4,3.71,9.67
6.0,3.39,8.88
6.6,3.35,8.98
5.5,3.21,9.07
7.5,3.40,8.90
6.3,3.49,8.88
5.1,3.23,8.49
4.8,2.93,8.14
4.7,2.99,8.15
4.8,2.84,8.03
8.2,2.57,7.78
7.8,2.56,7.47
6.6,2.57,7.54
7.6,2.80,7.73
7.0,2.61,7.37
5.5,2.35,7.05
